t_s,v_ms,f_ZZ_Hz,f_REF_Hz,H_eff_s,P_gov_MW,omega0_rads,Pelec0_MW,Pzz0_kW,lam0,omega1_rads,Pelec1_MW,Pzz1_kW,lam1,omega2_rads,Pelec2_MW,Pzz2_kW,lam2,omega3_rads,Pelec3_MW,Pzz3_kW,lam3,omega4_rads,Pelec4_MW,Pzz4_kW,lam4
38.36,10.997,49.97337,49.97261,4.008338,68.7164,1.1695,4.6577,397.031,6.38,1.1399,4.0509,-397.031,6.223,1.1399,4.0509,-397.031,6.223,1.1695,4.6589,397.031,6.38,1.1548,4.3533,0.0,6.302
38.38,10.993,49.97144,49.97066,4.008335,68.5267,1.1696,4.6614,402.229,6.383,1.1393,4.0378,-402.229,6.222,1.1393,4.0378,-402.229,6.222,1.1697,4.6625,402.229,6.384,1.1546,4.3486,0.0,6.303
38.4,10.989,49.96949,49.96871,4.008332,68.344,1.1698,4.6648,407.172,6.387,1.1387,4.0249,-407.172,6.221,1.1387,4.0249,-407.172,6.221,1.1698,4.6659,407.172,6.387,1.1544,4.3439,0.0,6.304
38.42,10.984,49.96754,49.96674,4.008328,68.1683,1.1699,4.6681,411.859,6.39,1.1381,4.0122,-411.859,6.22,1.1381,4.0123,-411.859,6.22,1.17,4.6691,411.859,6.39,1.1541,4.3392,0.0,6.305
38.44,10.98,49.96557,49.96477,4.008325,67.9995,1.1701,4.6711,416.285,6.393,1.1375,3.9997,-416.285,6.219,1.1375,3.9999,-416.285,6.219,1.1701,4.6721,416.285,6.393,1.1539,4.3346,0.0,6.307
38.46,10.976,49.9636,49.96278,4.008322,67.8376,1.1702,4.674,420.448,6.396,1.1369,3.9875,-420.448,6.218,1.1369,3.9877,-420.448,6.218,1.1702,4.675,420.448,6.396,1.1537,4.3299,0.0,6.308
38.48,10.972,49.96162,49.9608,4.008319,67.6828,1.1703,4.6767,424.346,6.399,1.1363,3.9755,-424.346,6.217,1.1363,3.9757,-424.346,6.217,1.1703,4.6776,424.346,6.399,1.1535,4.3253,0.0,6.309
38.5,10.968,49.95964,49.9588,4.008315,67.5348,1.1704,4.6791,427.975,6.402,1.1357,3.9637,-427.975,6.216,1.1358,3.964,-427.975,6.216,1.1704,4.68,427.975,6.402,1.1533,4.3207,0.0,6.31
38.52,10.964,49.95764,49.95679,4.008312,67.3939,1.1705,4.6813,431.335,6.405,1.1352,3.9522,-431.335,6.215,1.1352,3.9525,-431.335,6.215,1.1705,4.6822,431.335,6.405,1.153,4.3161,0.0,6.311
38.54,10.96,49.95564,49.95479,4.008309,67.2598,1.1706,4.6834,434.422,6.408,1.1347,3.9409,-434.422,6.214,1.1347,3.9413,-434.422,6.214,1.1706,4.6841,434.422,6.408,1.1528,4.3115,0.0,6.312
38.56,10.957,49.95364,49.95277,4.008306,67.1327,1.1707,4.6851,437.234,6.41,1.1341,3.9299,-437.234,6.214,1.1342,3.9303,-437.234,6.214,1.1707,4.6859,437.234,6.411,1.1526,4.307,0.0,6.313
38.58,10.953,49.95163,49.95075,4.008303,67.0125,1.1707,4.6867,439.771,6.413,1.1336,3.9192,-439.771,6.213,1.1336,3.9196,-439.771,6.213,1.1708,4.6874,439.771,6.413,1.1524,4.3025,0.0,6.314
38.6,10.949,49.94961,49.94872,4.008299,66.8993,1.1708,4.688,442.029,6.416,1.1331,3.9087,-442.029,6.212,1.1331,3.9091,-442.029,6.213,1.1708,4.6887,442.029,6.416,1.1522,4.2979,0.0,6.315
38.62,10.945,49.94759,49.94669,4.008296,66.7929,1.1708,4.6891,444.009,6.418,1.1326,3.8985,-444.009,6.212,1.1327,3.899,-444.009,6.212,1.1708,4.6898,444.009,6.418,1.152,4.2935,0.0,6.316
38.64,10.941,49.94557,49.94466,4.008293,66.6935,1.1708,4.69,445.708,6.421,1.1322,3.8885,-445.708,6.211,1.1322,3.889,-445.708,6.212,1.1709,4.6906,445.708,6.421,1.1518,4.289,0.0,6.317
38.66,10.937,49.94354,49.94262,4.00829,66.6009,1.1709,4.6906,447.125,6.423,1.1317,3.8788,-447.125,6.211,1.1317,3.8794,-447.125,6.211,1.1709,4.6911,447.125,6.423,1.1515,4.2845,0.0,6.318
38.68,10.933,49.9415,49.94058,4.008287,66.5152,1.1709,4.691,448.26,6.426,1.1313,3.8694,-448.26,6.211,1.1313,3.8701,-448.26,6.211,1.1709,4.6915,448.26,6.426,1.1513,4.2801,0.0,6.32
38.7,10.929,49.93947,49.93854,4.008284,66.4363,1.1709,4.6912,449.112,6.428,1.1308,3.8603,-449.112,6.21,1.1309,3.861,-449.112,6.211,1.1709,4.6915,449.112,6.428,1.1511,4.2757,0.0,6.321
38.72,10.926,49.93743,49.93649,4.008281,66.3642,1.1708,4.691,449.68,6.43,1.1304,3.8514,-449.68,6.21,1.1304,3.8522,-449.68,6.21,1.1709,4.6914,449.68,6.43,1.1509,4.2713,0.0,6.322
38.74,10.922,49.93539,49.93445,4.008278,66.299,1.1708,4.6907,449.964,6.432,1.13,3.8429,-449.964,6.21,1.13,3.8437,-449.964,6.21,1.1708,4.6909,449.964,6.432,1.1507,4.2669,0.0,6.323
38.76,10.918,49.93335,49.9324,4.008275,66.2405,1.1677,4.6901,-449.964,6.434,1.1328,3.8346,449.964,6.21,1.1328,3.8355,449.964,6.21,1.1677,4.6903,-449.964,6.434,1.1505,4.2625,0.0,6.324
38.78,10.914,49.93131,49.93035,4.008272,66.1889,1.1648,4.623,-449.68,6.419,1.1354,3.8915,449.68,6.227,1.1354,3.8925,449.68,6.228,1.1648,4.6232,-449.68,6.419,1.1503,4.2582,0.0,6.325
38.8,10.91,49.92927,49.9283,4.008269,66.1439,1.162,4.5604,-449.112,6.405,1.1378,3.9445,449.112,6.244,1.1378,3.9455,449.112,6.244,1.162,4.5605,-449.112,6.406,1.1501,4.2539,0.0,6.326
38.82,10.907,49.92722,49.92625,4.008266,66.1057,1.1595,4.502,-448.26,6.393,1.14,3.9938,448.26,6.259,1.14,3.9948,448.26,6.259,1.1595,4.502,-448.26,6.393,1.1499,4.2496,0.0,6.327
38.84,10.903,49.92518,49.9242,4.008263,66.0741,1.1571,4.4475,-447.125,6.381,1.142,4.0395,447.125,6.273,1.1421,4.0406,447.125,6.274,1.1571,4.4474,-447.125,6.381,1.1497,4.2453,0.0,6.328
38.86,10.899,49.92314,49.92215,4.00826,66.0493,1.1548,4.3965,-445.708,6.37,1.1439,4.0818,445.708,6.287,1.144,4.083,445.708,6.287,1.1548,4.3964,-445.708,6.37,1.1495,4.241,0.0,6.329
38.88,10.896,49.9211,49.9201,4.008257,66.031,1.1527,4.3489,-444.009,6.359,1.1457,4.121,444.009,6.299,1.1457,4.1222,444.009,6.3,1.1527,4.3488,-444.009,6.359,1.1493,4.2368,0.0,6.33
38.9,10.892,49.91906,49.91805,4.008254,66.0194,1.1507,4.3045,-442.029,6.35,1.1473,4.1572,442.029,6.311,1.1473,4.1585,442.029,6.311,1.1507,4.3043,-442.029,6.35,1.1491,4.2325,0.0,6.331
38.92,10.888,49.91702,49.91601,4.008252,66.0143,1.1489,4.263,-439.771,6.341,1.1487,4.1906,439.771,6.322,1.1488,4.1919,439.771,6.322,1.1489,4.2628,-439.771,6.341,1.1489,4.2283,0.0,6.332
38.94,10.885,49.91498,49.91396,4.008249,66.0158,1.1472,4.2243,-437.234,6.333,1.1501,4.2213,437.234,6.332,1.1502,4.2227,437.234,6.333,1.1471,4.224,-437.234,6.333,1.1487,4.2241,0.0,6.333
38.96,10.881,49.91295,49.91192,4.008246,66.0238,1.1455,4.1881,-434.422,6.326,1.1513,4.2495,434.422,6.342,1.1514,4.251,434.422,6.342,1.1455,4.1878,-434.422,6.326,1.1485,4.22,0.0,6.334
38.98,10.877,49.91091,49.90989,4.008243,66.0383,1.144,4.1544,-431.335,6.319,1.1524,4.2754,431.335,6.351,1.1525,4.2769,431.335,6.351,1.144,4.154,-431.335,6.319,1.1483,4.2158,0.0,6.335
39.0,10.874,49.90889,49.90785,4.008241,66.0592,1.1426,4.1229,-427.975,6.313,1.1535,4.299,427.975,6.359,1.1535,4.3005,427.975,6.359,1.1426,4.1225,-427.975,6.312,1.1481,4.2117,0.0,6.336
39.02,10.87,49.90686,49.90583,4.008238,66.0866,1.1413,4.0936,-424.346,6.307,1.1544,4.3205,424.346,6.367,1.1545,4.3221,424.346,6.367,1.1413,4.0931,-424.346,6.307,1.1479,4.2076,0.0,6.337
39.04,10.867,49.90484,49.9038,4.008235,66.1203,1.1401,4.0662,-420.448,6.302,1.1552,4.3401,420.448,6.374,1.1553,4.3417,420.448,6.374,1.14,4.0658,-420.448,6.301,1.1477,4.2035,0.0,6.338
39.06,10.863,49.90283,49.90178,4.008232,66.1603,1.1389,4.0408,-416.285,6.297,1.156,4.3577,416.285,6.381,1.1561,4.3593,416.285,6.381,1.1389,4.0403,-416.285,6.297,1.1475,4.1994,0.0,6.339
39.08,10.86,49.90082,49.89977,4.00823,66.2066,1.1378,4.0171,-411.859,6.293,1.1567,4.3736,411.859,6.387,1.1567,4.3752,411.859,6.387,1.1378,4.0166,-411.859,6.292,1.1473,4.1953,0.0,6.34
39.1,10.856,49.89881,49.89776,4.008227,66.2592,1.1368,3.9951,-407.172,6.289,1.1573,4.3878,407.172,6.393,1.1573,4.3895,407.172,6.393,1.1368,3.9946,-407.172,6.289,1.1471,4.1913,0.0,6.341
39.12,10.853,49.89681,49.89575,4.008224,66.3179,1.1359,3.9746,-402.229,6.285,1.1578,4.4005,402.229,6.398,1.1579,4.4021,402.229,6.399,1.1359,3.9741,-402.229,6.285,1.1469,4.1873,0.0,6.342
39.14,10.849,49.89482,49.89376,4.008221,66.3828,1.1351,3.9557,-397.031,6.282,1.1582,4.4116,397.031,6.403,1.1583,4.4133,397.031,6.403,1.135,3.9552,-397.031,6.282,1.1467,4.1833,0.0,6.343
39.16,10.846,49.89283,49.89177,4.008219,66.4539,1.1343,3.9382,-391.583,6.279,1.1586,4.4214,391.583,6.408,1.1587,4.4231,391.583,6.408,1.1342,3.9376,-391.583,6.279,1.1465,4.1793,0.0,6.344
39.18,10.842,49.89085,49.88978,4.008216,66.531,1.1335,3.922,-385.887,6.277,1.159,4.4298,385.887,6.412,1.1591,4.4315,385.887,6.412,1.1335,3.9214,-385.887,6.277,1.1464,4.1754,0.0,6.345
39.2,10.839,49.88888,49.88781,4.008213,66.6142,1.1329,3.907,-379.948,6.275,1.1593,4.4369,379.948,6.416,1.1593,4.4386,379.948,6.416,1.1328,3.9065,-379.948,6.275,1.1462,4.1714,0.0,6.346
39.22,10.835,49.88691,49.88584,4.00821,66.7033,1.1323,3.8933,-373.768,6.273,1.1595,4.4429,373.768,6.419,1.1596,4.4446,373.768,6.42,1.1322,3.8928,-373.768,6.273,1.146,4.1675,0.0,6.347
39.24,10.832,49.88495,49.88388,4.008208,66.7984,1.1317,3.8807,-367.353,6.272,1.1597,4.4478,367.353,6.423,1.1597,4.4494,367.353,6.423,1.1317,3.8801,-367.353,6.272,1.1458,4.1636,0.0,6.348
39.26,10.829,49.883,49.88193,4.008205,66.8993,1.1312,3.8691,-360.705,6.271,1.1598,4.4515,360.705,6.426,1.1599,4.4532,360.705,6.426,1.1311,3.8686,-360.705,6.27,1.1456,4.1597,0.0,6.349
39.28,10.825,49.88106,49.87998,4.008202,67.0061,1.1307,3.8586,-353.83,6.27,1.1599,4.4543,353.83,6.428,1.16,4.456,353.83,6.429,1.1307,3.8581,-353.83,6.27,1.1454,4.1559,0.0,6.35
39.3,10.822,49.87913,49.87805,4.0082,67.1187,1.1303,3.8491,-346.731,6.269,1.1599,4.4562,346.731,6.431,1.16,4.4578,346.731,6.431,1.1303,3.8486,-346.731,6.269,1.1452,4.152,0.0,6.351
39.32,10.819,49.87721,49.87612,4.008197,67.237,1.1299,3.8405,-339.413,6.269,1.1599,4.4571,339.413,6.433,1.16,4.4587,339.413,6.433,1.1299,3.84,-339.413,6.268,1.1451,4.1482,0.0,6.352
39.34,10.815,49.8753,49.87421,4.008194,67.361,1.1296,3.8327,-331.881,6.268,1.1599,4.4572,331.881,6.435,1.16,4.4588,331.881,6.435,1.1295,3.8322,-331.881,6.268,1.1449,4.1444,0.0,6.352
39.36,10.812,49.87339,49.87231,4.008192,67.4906,1.1293,3.8258,-324.139,6.268,1.1598,4.4564,324.139,6.437,1.1599,4.458,324.139,6.437,1.1292,3.8253,-324.139,6.268,1.1447,4.1406,0.0,6.353
39.38,10.809,49.8715,49.87041,4.008189,67.6258,1.129,3.8197,-316.192,6.269,1.1597,4.4549,316.192,6.438,1.1598,4.4565,316.192,6.439,1.129,3.8193,-316.192,6.269,1.1445,4.1368,0.0,6.354
39.4,10.805,49.86962,49.86853,4.008186,67.7665,1.1288,3.8143,-308.046,6.269,1.1596,4.4527,308.046,6.44,1.1597,4.4542,308.046,6.44,1.1287,3.8139,-308.046,6.269,1.1443,4.1331,0.0,6.355
39.42,10.802,49.86775,49.86666,4.008184,67.9126,1.1286,3.8097,-299.705,6.27,1.1594,4.4497,299.705,6.441,1.1595,4.4513,299.705,6.441,1.1286,3.8093,-299.705,6.27,1.1442,4.1294,0.0,6.356
39.44,10.799,49.86589,49.8648,4.008181,68.0642,1.1284,3.8057,-291.175,6.27,1.1592,4.4462,291.175,6.442,1.1593,4.4476,291.175,6.442,1.1284,3.8054,-291.175,6.27,1.144,4.1257,0.0,6.357
39.46,10.796,49.86404,49.86295,4.008179,68.2211,1.1283,3.8024,-282.461,6.271,1.159,4.4419,282.461,6.443,1.1591,4.4434,282.461,6.443,1.1283,3.8021,-282.461,6.271,1.1438,4.122,0.0,6.358
39.48,10.793,49.8622,49.86112,4.008176,68.3833,1.1282,3.7998,-273.569,6.273,1.1587,4.4371,273.569,6.443,1.1588,4.4386,273.569,6.444,1.1282,3.7995,-273.569,6.272,1.1436,4.1183,0.0,6.359
39.5,10.789,49.86038,49.85929,4.008174,68.5507,1.1281,3.7977,-264.503,6.274,1.1585,4.4318,264.503,6.444,1.1585,4.4332,264.503,6.444,1.1281,3.7975,-264.503,6.274,1.1434,4.1147,0.0,6.36
39.52,10.786,49.85857,49.85748,4.008171,68.7233,1.1281,3.7962,-255.271,6.275,1.1582,4.4259,255.271,6.444,1.1582,4.4272,255.271,6.444,1.1281,3.796,-255.271,6.275,1.1433,4.111,0.0,6.361
39.54,10.783,49.85677,49.85568,4.008169,68.901,1.128,3.7953,-245.877,6.277,1.1578,4.4195,245.877,6.444,1.1579,4.4208,245.877,6.445,1.128,3.7952,-245.877,6.277,1.1431,4.1074,0.0,6.362
39.56,10.78,49.85499,49.8539,4.008166,69.0837,1.128,3.7949,-236.329,6.279,1.1575,4.4126,236.329,6.444,1.1575,4.4138,236.329,6.445,1.128,3.7948,-236.329,6.279,1.1429,4.1038,0.0,6.362
39.58,10.777,49.85321,49.85213,4.008164,69.2714,1.1281,3.795,-226.63,6.28,1.1571,4.4052,226.63,6.444,1.1572,4.4064,226.63,6.445,1.1281,3.7949,-226.63,6.28,1.1428,4.1003,0.0,6.363
39.6,10.774,49.85146,49.85037,4.008161,69.464,1.1281,3.7956,-216.789,6.282,1.1567,4.3974,216.789,6.444,1.1568,4.3986,216.789,6.444,1.1281,3.7956,-216.789,6.282,1.1426,4.0967,0.0,6.364
39.62,10.771,49.84971,49.84863,4.008159,69.6615,1.1282,3.7966,-206.811,6.284,1.1563,4.3892,206.811,6.444,1.1564,4.3904,206.811,6.444,1.1282,3.7966,-206.811,6.284,1.1424,4.0932,0.0,6.365
39.64,10.768,49.84798,49.84691,4.008156,69.8638,1.1283,3.7981,-196.702,6.287,1.1559,4.3806,196.702,6.443,1.1559,4.3817,196.702,6.444,1.1283,3.7982,-196.702,6.287,1.1422,4.0897,0.0,6.366
39.66,10.765,49.84627,49.84519,4.008154,70.0708,1.1284,3.8,-186.469,6.289,1.1555,4.3717,186.469,6.443,1.1555,4.3727,186.469,6.443,1.1284,3.8001,-186.469,6.289,1.1421,4.0862,0.0,6.367
39.68,10.762,49.84457,49.8435,4.008152,70.2824,1.1285,3.8024,-176.118,6.291,1.155,4.3623,176.118,6.442,1.155,4.3633,176.118,6.442,1.1285,3.8025,-176.118,6.291,1.1419,4.0827,0.0,6.368
39.7,10.759,49.84288,49.84181,4.008149,70.4987,1.1287,3.8051,-165.656,6.294,1.1545,4.3527,165.656,6.441,1.1546,4.3536,165.656,6.442,1.1287,3.8052,-165.656,6.294,1.1417,4.0793,0.0,6.368
39.72,10.756,49.84121,49.84015,4.008147,70.7195,1.1289,3.8081,-155.089,6.296,1.154,4.3427,155.089,6.441,1.1541,4.3436,155.089,6.441,1.1289,3.8084,-155.089,6.296,1.1416,4.0758,0.0,6.369
39.74,10.753,49.83956,49.8385,4.008144,70.9447,1.129,3.8116,-144.425,6.299,1.1535,4.3324,144.425,6.44,1.1536,4.3332,144.425,6.44,1.1291,3.8118,-144.425,6.299,1.1414,4.0724,0.0,6.37
39.76,10.75,49.83792,49.83686,4.008142,71.1743,1.1292,3.8153,-133.669,6.302,1.153,4.3218,133.669,6.439,1.1531,4.3226,133.669,6.439,1.1293,3.8156,-133.669,6.302,1.1413,4.069,0.0,6.371
39.78,10.747,49.8363,49.83525,4.00814,71.4083,1.1295,3.8194,-122.828,6.305,1.1525,4.3109,122.828,6.437,1.1525,4.3117,122.828,6.438,1.1295,3.8198,-122.828,6.305,1.1411,4.0657,0.0,6.372
39.8,10.744,49.8347,49.83364,4.008138,71.6465,1.1297,3.8238,-111.91,6.308,1.1519,4.2998,111.91,6.436,1.152,4.3005,111.91,6.436,1.1297,3.8242,-111.91,6.308,1.1409,4.0623,0.0,6.373
39.82,10.741,49.83311,49.83206,4.008135,71.8889,1.1299,3.8285,-100.922,6.311,1.1514,4.2884,100.922,6.435,1.1514,4.2891,100.922,6.435,1.13,3.829,-100.922,6.311,1.1408,4.059,0.0,6.373
39.84,10.738,49.83154,49.83049,4.008133,72.1354,1.1302,3.8335,-89.869,6.314,1.1508,4.2768,89.869,6.434,1.1509,4.2774,89.869,6.434,1.1302,3.834,-89.869,6.314,1.1406,4.0557,0.0,6.374
39.86,10.735,49.82998,49.82894,4.008131,72.3859,1.1305,3.8388,-78.76,6.317,1.1503,4.265,78.76,6.432,1.1503,4.2656,78.76,6.432,1.1305,3.8393,-78.76,6.317,1.1405,4.0524,0.0,6.375
39.88,10.732,49.82845,49.82741,4.008129,72.6404,1.1307,3.8443,-67.602,6.32,1.1497,4.2529,67.602,6.431,1.1497,4.2535,67.602,6.431,1.1308,3.8448,-67.602,6.32,1.1403,4.0491,0.0,6.376
39.9,10.73,49.82693,49.8259,4.008126,72.8988,1.131,3.85,-56.4,6.323,1.1491,4.2407,56.4,6.429,1.1491,4.2412,56.4,6.429,1.1311,3.8506,-56.4,6.323,1.1401,4.0458,0.0,6.377
39.92,10.727,49.82543,49.8244,4.008124,73.1611,1.1313,3.856,-45.163,6.327,1.1485,4.2283,45.163,6.427,1.1485,4.2288,45.163,6.428,1.1314,3.8567,-45.163,6.327,1.14,4.0426,0.0,6.377
39.94,10.724,49.82394,49.82292,4.008122,73.427,1.1317,3.8622,-33.897,6.33,1.1479,4.2157,33.897,6.426,1.1479,4.2161,33.897,6.426,1.1317,3.8629,-33.897,6.33,1.1398,4.0394,0.0,6.378
39.96,10.721,49.82248,49.82147,4.00812,73.6967,1.132,3.8686,-22.61,6.333,1.1472,4.203,22.61,6.424,1.1473,4.2034,22.61,6.424,1.132,3.8693,-22.61,6.333,1.1397,4.0362,0.0,6.379
39.98,10.718,49.82103,49.82003,4.008118,73.97,1.1323,3.8752,-11.309,6.337,1.1466,4.1901,11.309,6.422,1.1466,4.1904,11.309,6.422,1.1324,3.876,-11.309,6.337,1.1395,4.033,0.0,6.38
40.0,10.716,49.81961,49.8186,4.008116,74.2468,1.1327,3.882,0.0,6.34,1.146,4.1771,-0.0,6.42,1.146,4.1774,-0.0,6.42,1.1327,3.8828,0.0,6.34,1.1394,4.0299,0.0,6.381
40.02,10.713,49.8182,49.8172,4.008113,74.5271,1.133,3.8889,11.309,6.344,1.1454,4.1639,-11.309,6.418,1.1454,4.1642,-11.309,6.418,1.1331,3.8898,11.309,6.344,1.1392,4.0267,0.0,6.381
40.04,10.71,49.81681,49.81582,4.008111,74.8107,1.1334,3.896,22.61,6.347,1.1447,4.1506,-22.61,6.416,1.1447,4.1509,-22.61,6.416,1.1334,3.897,22.61,6.348,1.1391,4.0236,0.0,6.382
40.06,10.708,49.81544,49.81445,4.008109,75.0977,1.1337,3.9033,33.897,6.351,1.1441,4.1373,-33.897,6.414,1.1441,4.1375,-33.897,6.414,1.1338,3.9043,33.897,6.351,1.1389,4.0205,0.0,6.383
40.08,10.705,49.81409,49.81311,4.008107,75.3879,1.1341,3.9107,45.163,6.354,1.1434,4.1238,-45.163,6.412,1.1434,4.1239,-45.163,6.412,1.1341,3.9117,45.163,6.355,1.1388,4.0174,0.0,6.384
40.1,10.702,49.81276,49.81179,4.008105,75.6813,1.1345,3.9183,56.4,6.358,1.1428,4.1102,-56.4,6.41,1.1428,4.1104,-56.4,6.41,1.1345,3.9193,56.4,6.358,1.1386,4.0144,0.0,6.384
40.12,10.7,49.81145,49.81048,4.008103,75.9777,1.1348,3.9259,67.602,6.362,1.1421,4.0966,-67.602,6.408,1.1421,4.0967,-67.602,6.408,1.1349,3.927,67.602,6.362,1.1385,4.0113,0.0,6.385
40.14,10.697,49.81016,49.8092,4.008101,76.2772,1.1352,3.9337,78.76,6.365,1.1414,4.0829,-78.76,6.406,1.1414,4.0829,-78.76,6.406,1.1353,3.9348,78.76,6.366,1.1383,4.0083,0.0,6.386
40.16,10.694,49.80888,49.80794,4.008099,76.5796,1.1356,3.9416,89.869,6.369,1.1408,4.0691,-89.869,6.404,1.1408,4.0691,-89.869,6.404,1.1357,3.9427,89.869,6.369,1.1382,4.0053,0.0,6.387
40.18,10.692,49.80763,49.80669,4.008097,76.8848,1.136,3.9496,100.922,6.373,1.1401,4.0553,-100.922,6.402,1.1401,4.0553,-100.922,6.402,1.1361,3.9507,100.922,6.373,1.138,4.0023,0.0,6.387
40.2,10.689,49.8064,49.80547,4.008095,77.1928,1.1364,3.9576,111.91,6.377,1.1394,4.0415,-111.91,6.399,1.1394,4.0414,-111.91,6.399,1.1365,3.9588,111.91,6.377,1.1379,3.9994,0.0,6.388
40.22,10.687,49.80519,49.80427,4.008093,77.5036,1.1368,3.9657,122.828,6.38,1.1387,4.0276,-122.828,6.397,1.1387,4.0275,-122.828,6.397,1.1369,3.9669,122.828,6.381,1.1378,3.9964,0.0,6.389
40.24,10.684,49.80401,49.80309,4.008091,77.8169,1.1372,3.9739,133.669,6.384,1.1381,4.0137,-133.669,6.395,1.1381,4.0136,-133.669,6.395,1.1373,3.9751,133.669,6.384,1.1376,3.9935,0.0,6.389
40.26,10.682,49.80284,49.80193,4.008089,78.1329,1.1376,3.9822,144.425,6.388,1.1374,3.9997,-144.425,6.393,1.1374,3.9996,-144.425,6.393,1.1377,3.9834,144.425,6.388,1.1375,3.9906,0.0,6.39
40.28,10.679,49.80169,49.80079,4.008087,78.4513,1.138,3.9904,155.089,6.392,1.1367,3.9858,-155.089,6.39,1.1367,3.9857,-155.089,6.39,1.1381,3.9917,155.089,6.392,1.1373,3.9877,0.0,6.391
40.3,10.677,49.80056,49.79967,4.008085,78.772,1.1384,3.9988,165.656,6.395,1.136,3.9719,-165.656,6.388,1.136,3.9717,-165.656,6.388,1.1385,4.0001,165.656,6.396,1.1372,3.9849,0.0,6.392
40.32,10.674,49.79946,49.79858,4.008083,79.0951,1.1388,4.0071,176.118,6.399,1.1354,3.958,-176.118,6.386,1.1353,3.9578,-176.118,6.386,1.1389,4.0084,176.118,6.399,1.1371,3.982,0.0,6.392
40.34,10.672,49.79838,49.7975,4.008081,79.4205,1.1392,4.0155,186.469,6.403,1.1347,3.9441,-186.469,6.383,1.1347,3.9439,-186.469,6.383,1.1393,4.0168,186.469,6.403,1.1369,3.9792,0.0,6.393
40.36,10.669,49.79732,49.79645,4.008079,79.748,1.1396,4.0238,196.702,6.407,1.134,3.9302,-196.702,6.381,1.134,3.93,-196.702,6.381,1.1397,4.0252,196.702,6.407,1.1368,3.9764,0.0,6.394
40.38,10.667,49.79628,49.79542,4.008077,80.0776,1.14,4.0322,206.811,6.41,1.1333,3.9164,-206.811,6.379,1.1333,3.9162,-206.811,6.379,1.1401,4.0336,206.811,6.411,1.1367,3.9736,0.0,6.394
40.4,10.665,49.79526,49.79441,4.008075,80.4092,1.1404,4.0406,216.789,6.414,1.1327,3.9026,-216.789,6.376,1.1326,3.9024,-216.789,6.376,1.1405,4.042,216.789,6.414,1.1365,3.9709,0.0,6.395
40.42,10.662,49.79426,49.79342,4.008074,80.7428,1.1409,4.0489,226.63,6.418,1.132,3.8888,-226.63,6.374,1.132,3.8886,-226.63,6.374,1.1409,4.0503,226.63,6.418,1.1364,3.9681,0.0,6.396
40.44,10.66,49.79329,49.79246,4.008072,81.0781,1.1413,4.0573,236.329,6.421,1.1313,3.8752,-236.329,6.371,1.1313,3.8749,-236.329,6.371,1.1413,4.0586,236.329,6.422,1.1363,3.9654,0.0,6.396
40.46,10.658,49.79233,49.79152,4.00807,81.4153,1.1417,4.0655,245.877,6.425,1.1307,3.8615,-245.877,6.369,1.1306,3.8613,-245.877,6.369,1.1417,4.0669,245.877,6.425,1.1361,3.9627,0.0,6.397
40.48,10.655,49.7914,49.7906,4.008068,81.7542,1.142,4.0738,255.271,6.429,1.13,3.848,-255.271,6.367,1.13,3.8478,-255.271,6.367,1.1421,4.0752,255.271,6.429,1.136,3.96,0.0,6.398
40.5,10.653,49.7905,49.7897,4.008066,82.0947,1.1424,4.082,264.503,6.432,1.1293,3.8346,-264.503,6.364,1.1293,3.8343,-264.503,6.364,1.1425,4.0834,264.503,6.433,1.1359,3.9573,0.0,6.398
40.52,10.651,49.78961,49.78882,4.008064,82.4367,1.1428,4.0902,273.569,6.436,1.1287,3.8212,-273.569,6.362,1.1287,3.8209,-273.569,6.362,1.1429,4.0916,273.569,6.436,1.1357,3.9547,0.0,6.399
40.54,10.648,49.78875,49.78797,4.008062,82.7802,1.1432,4.0982,282.461,6.439,1.128,3.8079,-282.461,6.36,1.128,3.8077,-282.461,6.36,1.1433,4.0997,282.461,6.44,1.1356,3.9521,0.0,6.4
40.56,10.646,49.7879,49.78714,4.008061,83.1251,1.1436,4.1063,291.175,6.443,1.1274,3.7948,-291.175,6.357,1.1274,3.7945,-291.175,6.357,1.1437,4.1077,291.175,6.443,1.1355,3.9495,0.0,6.4
40.58,10.644,49.78709,49.78633,4.008059,83.4713,1.144,4.1142,299.705,6.446,1.1267,3.7817,-299.705,6.355,1.1267,3.7814,-299.705,6.355,1.144,4.1156,299.705,6.447,1.1354,3.9469,0.0,6.401
40.6,10.642,49.78629,49.78555,4.008057,83.8188,1.1444,4.122,308.046,6.45,1.1261,3.7688,-308.046,6.353,1.1261,3.7685,-308.046,6.353,1.1444,4.1234,308.046,6.45,1.1352,3.9443,0.0,6.401
40.62,10.64,49.78552,49.78478,4.008055,84.1674,1.1447,4.1298,316.192,6.453,1.1255,3.756,-316.192,6.351,1.1255,3.7557,-316.192,6.35,1.1448,4.1312,316.192,6.454,1.1351,3.9418,0.0,6.402
40.64,10.637,49.78476,49.78404,4.008054,84.517,1.1451,4.1375,324.139,6.457,1.1249,3.7433,-324.139,6.348,1.1249,3.743,-324.139,6.348,1.1451,4.1388,324.139,6.457,1.135,3.9392,0.0,6.403
40.66,10.635,49.78404,49.78333,4.008052,84.8677,1.1454,4.145,331.881,6.46,1.1243,3.7307,-331.881,6.346,1.1242,3.7305,-331.881,6.346,1.1455,4.1464,331.881,6.461,1.1349,3.9367,0.0,6.403
